timestamp,temp,hum,press,light,airq,rain,in_temp,in_hum,cputemp
2021-03-21 23:36:36 UTC,27.2,92.9,1734.02,6.7,4208,25280,16,157,47.774
2021-03-21 23:47:53 UTC,27.1,92.5,1734.08,6.7,3952,25392,16,157,47.774
2021-03-22 04:12:51 UTC,26.5,93.6,1730.94,6.7,3968,25440,16,157,49.388
2021-03-22 04:30:29 UTC,26.7,93.4,1731.15,6.7,3936,25376,16,157,47.236
2021-03-16 05:55:17 UTC,26.5,94.9,1730.93,891.7,4288,25200,16,158,46.16
2021-03-20 00:45:28 UTC,27.5,94.3,1733.74,6.7,4624,13520,16,158,48.312
2021-03-19 23:40:14 UTC,27.2,94.9,1733.79,6.7,4256,16560,16,158,48.312
2021-03-20 00:16:32 UTC,27.7,94.3,1733.76,6.7,4400,12000,16,158,48.312
2021-03-20 03:45:38 UTC,26.8,93.8,1731.33,6.7,3952,23424,16,158,48.312
2021-03-20 07:04:18 UTC,27.5,91.4,1731.95,2999.2,4208,24688,16,158,47.774
2021-03-20 04:18:23 UTC,26.6,94.7,1731.28,6.7,4272,23664,16,158,47.774
2021-03-20 04:59:17 UTC,26.3,93.8,1730.76,6.7,4096,24112,16,158,47.236
2021-03-22 06:41:57 UTC,27,93.4,1731.5,3149.2,4064,25360,16,158,47.236
2021-03-22 06:35:58 UTC,27,93.2,1731.73,3068.3,4064,25392,16,158,47.236
2021-03-22 05:06:49 UTC,26.5,94,1731.13,6.7,4096,25360,16,158,47.236
2021-03-22 06:12:01 UTC,26.9,93.4,1731.06,1154.2,4400,25280,16,158,47.236
2021-03-22 05:26:53 UTC,26.1,95.2,1730.91,19.2,4160,25344,16,158,47.236
2021-03-16 19:06:09 UTC,28.6,89,1739.2,6.7,4528,25152,17,152,49.388
2021-03-17 19:29:52 UTC,29.2,85.8,1738.61,6.7,3760,25248,17,152,49.388
2021-03-22 18:04:43 UTC,29.8,88.5,1742.44,0,3936,25296,17,152,57.996
2021-03-19 09:44:05 UTC,30.5,78,1740.08,4490.8,3680,25408,17,153,49.926
2021-03-20 22:17:40 UTC,28.1,87.8,1736.17,6.7,4000,25216,17,153,48.312
2021-03-20 21:49:46 UTC,28,87.1,1736.1,6.7,3872,25424,17,153,48.312
2021-03-20 22:52:55 UTC,28.1,87.1,1735.81,6.7,4288,25280,17,153,48.312
2021-03-20 22:21:53 UTC,28.1,87.9,1736.08,6.7,3984,25424,17,153,48.312
2021-03-20 21:44:51 UTC,28.1,87.2,1736.13,6.7,3904,25312,17,153,48.312
2021-03-20 19:42:32 UTC,29,86.8,1739.88,6.7,3872,25408,17,153,49.388
2021-03-20 19:49:57 UTC,29,87.4,1739.83,6.7,3872,25376,17,153,49.388
2021-03-20 19:46:25 UTC,28.9,87.4,1739.97,6.7,3856,25328,17,153,49.388
2021-03-21 17:16:49 UTC,29.9,84.9,1741.35,541.7,4032,25312,17,153,50.464
2021-03-21 16:48:39 UTC,30.3,84.3,1742.58,357.5,4064,25312,17,153,50.464
2021-03-21 09:54:01 UTC,31.7,76.1,1741.78,7467.5,3920,25392,17,153,50.464
2021-03-22 18:15:18 UTC,29.8,88.6,1742.35,0,4064,25344,17,153,64.99
2021-03-16 20:21:31 UTC,28.1,90.9,1736.69,6.7,4496,24960,17,154,48.312
2021-03-17 20:46:59 UTC,27.8,91.1,1735.38,6.7,4096,25200,17,154,47.774
2021-03-17 20:43:07 UTC,27.8,91.3,1735.44,6.7,4096,25248,17,154,47.774
2021-03-20 09:24:37 UTC,29.6,79.9,1737.05,4477.5,3888,25392,17,154,51.54
2021-03-21 09:38:10 UTC,32,74.6,1741.33,10554.2,4032,25376,17,154,49.926
2021-03-21 18:33:58 UTC,28.6,90.1,1738.5,6.7,3984,25392,17,154,49.388
2021-03-21 09:19:07 UTC,30.9,78.3,1739.49,6170.8,3888,25472,17,154,49.388
2021-03-15 21:21:29 UTC,27.5,92.6,1735.64,6.7,4512,25344,17,155,47.774
2021-03-15 21:17:15 UTC,27.9,91.8,1735.97,6.7,4672,25280,17,155,47.774
2021-03-15 21:23:58 UTC,27.6,92.5,1735.39,6.7,4528,25264,17,155,47.774
2021-03-16 21:34:08 UTC,27.7,92.3,1735.21,6.7,4128,24880,17,155,47.774
2021-03-16 22:12:09 UTC,27.8,92,1735.04,6.7,4240,25120,17,155,47.774
2021-03-18 09:02:43 UTC,30.9,79.1,1738.36,4838.3,4064,24832,17,155,51.54
2021-03-17 09:10:59 UTC,30.2,82.1,1737.34,3467.5,3968,25216,17,155,48.85
2021-03-20 09:04:32 UTC,30.2,83.2,1737.82,5581.7,4256,25344,17,155,50.464
2021-03-20 09:42:56 UTC,29.9,80.3,1737.73,5241.7,3824,25328,17,155,52.078
2021-03-22 08:52:45 UTC,30.2,83.8,1738.44,4829.2,4368,25296,17,155,60.148
2021-03-22 09:21:18 UTC,30.7,81.6,1739.53,10282.5,4016,25152,17,155,59.072
2021-03-22 09:37:53 UTC,30.8,82.5,1740.47,6872.5,4160,25280,17,155,59.072
2021-03-16 10:05:37 UTC,30.6,84.2,1736.59,13084.2,4416,25168,17,156,48.85
2021-03-18 08:30:15 UTC,29.9,85.7,1735.73,5166.7,4544,24944,17,156,51.54
2021-03-18 08:20:18 UTC,29.3,85.9,1734.77,4581.7,4064,24928,17,156,51.54
2021-03-22 08:25:37 UTC,29.5,85.6,1736.76,7027.5,4224,25376,17,156,60.686
2021-03-16 08:15:46 UTC,28.7,90.6,1734.26,2878.3,4864,25200,17,157,47.774
2021-03-19 10:29:32 UTC,32.6,66.8,1742.86,5564.2,3504,25456,17,151,50.464
2021-03-18 11:40:13 UTC,34.1,68.6,1746.16,10235.8,3648,25360,18,152,51.54
2021-03-21 10:52:36 UTC,31.9,79.1,1743.64,9496.7,4032,25296,18,152,51.002
2021-03-22 12:00:56 UTC,34,70.7,1745.82,20630.8,4016,25440,18,152,54.768
2021-03-22 11:55:18 UTC,33.9,69.7,1745.6,14171.7,4080,25424,18,152,53.692
2021-03-22 11:33:46 UTC,33.3,73.4,1744.88,10105,4080,25344,18,152,55.844
2021-03-16 12:16:40 UTC,33.3,68.2,1742.97,14740.8,4016,25120,18,153,50.464
2021-03-20 12:27:15 UTC,32.8,76.6,1744.92,18211.7,3824,25296,18,153,50.464
2021-03-20 11:52:43 UTC,32.7,73.5,1743.06,24130.8,3664,25440,18,153,49.388
2021-03-21 13:50:38 UTC,32,80.5,1744.98,8354.2,4448,25360,18,153,50.464
2021-03-21 11:44:27 UTC,32,79.7,1743.6,13566.7,4000,25312,18,153,51.54
2021-03-21 10:26:30 UTC,32.5,78.1,1743.95,12103.3,4384,25472,18,153,51.54
2021-03-21 12:02:24 UTC,33.3,75.5,1745.62,12380,3968,25488,18,153,51.54
2021-03-21 10:31:48 UTC,33.1,75,1744.46,13907.5,4032,25376,18,153,51.54
2021-03-21 12:45:48 UTC,33.1,76.5,1746.28,6866.7,4176,25344,18,153,51.54
2021-03-21 12:27:07 UTC,32.3,79.3,1744.71,28045,4032,25264,18,153,51.002
2021-03-21 10:20:09 UTC,32.3,77.7,1743.6,10512.5,4208,25344,18,153,51.002
2021-03-21 11:01:47 UTC,31.4,79.9,1743.15,3727.5,4128,25472,18,153,51.002
2021-03-22 10:05:44 UTC,31.7,79.7,1742.04,10346.7,4144,25344,18,153,50.464
2021-03-22 11:07:42 UTC,32.2,77.8,1745.36,9633.3,4272,25360,18,153,53.692
2021-03-22 10:40:55 UTC,32.6,76,1743.99,11775,4016,25248,18,153,55.844
2021-03-15 10:35:29 UTC,32,75.7,1741.58,10670.8,3600,25360,18,154,49.926
2021-03-15 10:42:11 UTC,31.8,77.1,1741.37,12155,3648,25536,18,154,49.388
2021-03-21 10:10:19 UTC,32.9,76.1,1743.53,9065,4160,25280,18,154,51.54
2021-03-21 10:13:50 UTC,32.8,76.4,1743.75,7079.2,4256,25232,18,154,51.54
2021-03-22 10:11:21 UTC,32.5,75.5,1743.08,6780,4336,25424,18,154,51.54
2021-03-18 17:34:16 UTC,31,77.2,1747.31,389.2,3456,25600,18,148,52.616
2021-03-20 17:41:58 UTC,30.3,76.7,1744.29,317.5,3696,25376,18,148,51.54
2021-03-17 14:59:39 UTC,32.2,68.9,1744.7,4501.7,5024,25280,18,149,50.464
2021-03-18 18:01:05 UTC,31,78.5,1746.17,8.3,3568,25520,18,149,52.078
2021-03-18 18:07:06 UTC,31,77.9,1746.15,6.7,3664,25504,18,149,52.078
2021-03-18 17:54:44 UTC,30.9,78.4,1746.33,15.8,3552,25536,18,149,52.078
2021-03-18 17:52:16 UTC,30.9,78.7,1746.45,23.3,3472,25536,18,149,52.078
2021-03-18 18:11:40 UTC,30.9,78.4,1745.94,6.7,3584,25456,18,149,52.078
2021-03-19 12:01:10 UTC,34.8,62.7,1748.17,12057.5,3616,25440,18,150,52.078
2021-03-19 11:50:57 UTC,33.6,65.7,1746.67,16062.5,3520,25456,18,150,52.078
2021-03-18 19:11:57 UTC,30.7,78.9,1744.29,6.7,3504,25536,18,150,51.54
2021-03-18 19:35:56 UTC,30.3,82.5,1743.71,6.7,3744,25392,18,150,51.54
2021-03-19 11:24:12 UTC,33,66.9,1745.29,14793.3,3456,25392,18,150,51.54
2021-03-20 13:29:35 UTC,33.5,66.4,1746.5,37984.2,3648,25312,18,150,51.54
2021-03-22 17:37:15 UTC,30.2,84.8,1745.91,263.3,3952,25328,18,150,52.078
2021-03-15 17:44:48 UTC,30.3,80.9,1743.32,235.8,3632,25280,18,151,50.464
2021-03-19 17:24:55 UTC,30.3,81.9,1743.61,30,3584,25536,18,151,51.002
2021-03-22 17:48:10 UTC,30.1,86.4,1744.15,43.3,4032,25264,18,151,50.464
2021-03-21 14:17:46 UTC,40.3,54.6,1751.12,54612.5,4464,25376,19,153,53.154
2021-03-21 14:19:11 UTC,41.1,53.9,1751.69,54612.5,4320,25264,19,153,52.616
2021-03-18 16:51:58 UTC,32.5,70.9,1750.92,4290,3424,25600,19,146,53.154
2021-03-20 15:02:18 UTC,35.4,58.4,1751.41,53213.3,3632,25440,19,146,53.692
2021-03-22 16:13:09 UTC,32.7,69.9,1749.95,10465.8,4096,25328,19,146,62.3
2021-03-18 17:19:49 UTC,31.6,74.1,1748.58,1385.8,3440,25616,19,147,52.616
2021-03-19 16:30:39 UTC,33.1,71.5,1751.67,6682.5,3728,25392,19,147,53.692
2021-03-16 15:52:03 UTC,33.9,64.6,1748.48,13444.2,4320,25136,19,148,52.616
2021-03-16 17:29:38 UTC,31.7,73.2,1746.66,792.5,4224,25040,19,148,52.078
2021-03-19 13:09:32 UTC,35.2,67.2,1751.82,29121.7,3776,25552,19,149,52.616
2021-03-19 13:09:11 UTC,35.3,67.3,1751.81,27653.3,3744,25376,19,149,53.692
2021-03-19 13:32:46 UTC,33.2,72.8,1748.22,11283.3,3616,25440,19,150,52.078
2021-03-19 12:38:31 UTC,37,61.5,1751.69,20103.3,3840,25472,19,150,53.692
2021-03-21 14:53:42 UTC,32.9,76.6,1748.81,16060,4256,25296,19,150,52.616
2021-03-17 11:53:17 UTC,35.2,63.2,1746.76,16213.3,4080,25216,19,151,51.002
2021-03-18 12:17:12 UTC,34.9,65,1748.28,20356.7,3760,25392,19,151,52.616
2021-03-21 15:29:40 UTC,35,69.4,1748.69,19500,3984,25424,19,151,52.078
2021-03-19 14:55:56 UTC,38.2,57,1755.9,54612.5,3680,25296,20,147,54.23
2021-03-16 15:27:02 UTC,36.4,55.9,1750.79,16245.8,4000,25104,20,148,53.692
2021-03-15 14:11:44 UTC,39.6,57.5,1753.69,47884.2,4048,25408,20,150,53.692
2021-03-18 15:57:22 UTC,39,53.5,1760.35,29079.2,3568,25600,21,144,55.844
2021-03-18 15:51:44 UTC,40.1,52.5,1760.72,54612.5,3744,25504,21,145,55.844
2021-03-22 14:21:05 UTC,41,50,1760.3,54612.5,4048,25232,21,145,57.996
2021-03-22 14:17:54 UTC,40.2,51.6,1759.55,54612.5,4016,25344,21,145,57.996
2021-03-18 14:29:56 UTC,43.2,45.2,1762.57,54612.5,3824,25552,22,144,56.92
2021-03-18 15:08:22 UTC,43.4,43.6,1765.49,54612.5,3712,25680,22,143,57.996
2021-03-19 17:48:54 UTC,24.5,93.6,1729.01,16.7,3344,19520,30,54,45.622
2021-03-19 17:49:15 UTC,24.5,94.2,1728.78,16.7,3312,19616,30,54,45.622
2021-03-19 17:51:43 UTC,24.5,94.6,1728.96,12.5,3328,20480,30,54,45.622
2021-03-19 17:53:07 UTC,24.4,94.5,1729.39,10.8,3328,19984,30,54,45.622
2021-03-19 17:59:50 UTC,24.8,93.9,1730.02,7.5,3376,3616,30,54,45.622
2021-03-19 17:59:29 UTC,24.8,94.3,1730.25,7.5,3392,6528,30,54,46.16
2021-03-19 17:52:46 UTC,24.5,94.3,1729.33,11.7,3328,20288,30,54,45.084
2021-03-19 17:51:21 UTC,24.5,94.6,1728.88,12.5,3344,19840,30,54,45.084
2021-03-19 17:53:50 UTC,24.5,94.4,1729.24,10.8,3328,11744,30,54,45.084
2021-03-19 17:53:28 UTC,24.5,95,1729.39,10.8,3344,12400,30,54,45.084
2021-03-19 17:54:12 UTC,24.5,94.3,1729.25,10,3344,10416,30,54,45.084
2021-03-19 17:50:39 UTC,24.6,93.5,1728.85,13.3,3344,19504,30,54,45.084
2021-03-19 17:51:00 UTC,24.6,93.7,1728.89,13.3,3344,20000,30,54,45.084
2021-03-19 17:48:33 UTC,24.6,93.5,1729.12,17.5,3328,19776,30,54,45.084
2021-03-19 17:49:36 UTC,24.6,93.2,1728.72,15,3280,19440,30,54,45.084
2021-03-19 17:50:18 UTC,24.6,93.8,1728.78,14.2,3344,19568,30,54,45.084
2021-03-19 17:49:57 UTC,24.6,93.7,1728.81,15,3312,19440,30,54,45.084
2021-03-19 18:01:15 UTC,24.8,94.2,1730.12,7.5,3408,5440,30,56,46.16
2021-03-19 17:54:54 UTC,24.5,94.3,1729.23,10,3344,7040,30,55,44.008
2021-03-19 18:04:25 UTC,25,94.5,1730.62,6.7,3440,5616,30,55,45.622
2021-03-19 18:05:28 UTC,25,93.3,1730.52,6.7,3392,3488,30,55,45.622
2021-03-19 17:56:19 UTC,24.5,94.2,1729.76,9.2,3360,6032,30,55,45.622
2021-03-19 18:07:45 UTC,25.2,93.1,1730.41,6.7,3376,2272,30,55,45.622
2021-03-19 17:59:08 UTC,24.7,95.1,1730.25,7.5,3392,6224,30,55,45.622
2021-03-19 18:02:39 UTC,24.9,94.4,1730.33,6.7,3424,4592,30,55,45.622
2021-03-19 18:01:57 UTC,24.9,94.2,1730.15,7.5,3392,4912,30,55,45.622
2021-03-19 18:03:43 UTC,24.9,94.3,1730.49,6.7,3440,5984,30,55,45.622
2021-03-19 18:07:24 UTC,25.1,93.6,1730.52,6.7,3408,2512,30,55,45.622
2021-03-19 17:57:02 UTC,24.6,94.3,1729.65,8.3,3344,4752,30,55,45.622
